train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value,heldout_group_value
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6485835743333117,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8380942748206897,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,17.052650936331993,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,14.636247256036961,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.5974179289944967,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.8705875524404243,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.945877217976572,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.387947352250134,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9334637307308525,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9606729710862077,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,25.615272094581957,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,19.45800091602021,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,0.09161789075225213,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.8405851262614991,Cc1ccc(N)cc1.Clc1ccccn1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.679911882793808,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,12.65924981745278,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.66373098426176,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8595738916213992,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,22.240521055978093,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,18.609297052025795,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,-1.098459331178924,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.41350687477723036,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,5.6848907206762105,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,3.877027102482876,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9557978026977929,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9745093462973717,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,27.18051180286242,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,mae,21.95547839561689,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,r2,-2.134194192730804,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.5352562048220718,Cc1ccc(N)cc1.Clc1cccnc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.96570583696755,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,mae,13.024367499399961,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6743423956409152,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8616203725326326,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,rmse,12.567843420981491,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,mae,10.384899171812906,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,r2,0.13644775757775185,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,ridge,test,spearman,0.7927815904378365,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.004962612093402,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,mae,3.9891692328409656,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.95393133866241,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9755359637186423,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
1.0,leave_one_group_out,reactant_key,reaction_morgan_sum,2048,random_forest,test,rmse,7.880546356925982,Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1
